Thu Aug 13 09:46:36 +0000 2015,0,0,People everywhere in the @maasmuseum Powerhouse tonight! #ssf15 http://t.co/JuJRxqSCIo
Thu Aug 13 09:45:34 +0000 2015,0,0,Have a budding inventor in the family? This #intelgalileo workshop @ #sydsciencefest is for them https://t.co/zOKUX23LNy #intelmaker
Thu Aug 13 09:37:58 +0000 2015,0,0,There's a taste of science speed meet tonight  but there's a geeky speed date coming up #ssf15 http://t.co/BkcT8mLm7d http://t.co/sfx2a3UYID
Thu Aug 13 09:35:23 +0000 2015,1,0,RT @TheAmyR: Hey! Come to this on Wednesday for @SydScienceFest and speed date a scientist... https://t.co/EWlJ7MQmTb
Thu Aug 13 09:33:02 +0000 2015,2,0,RT @simoncrook: Looking forward to the launch of #sydsciencefest this arvo at @phmuseum and Primary Science Meet Up tomorrow at @Sydney_Uni…
Thu Aug 13 09:24:55 +0000 2015,1,0,Hey! Come to this on Wednesday for @SydScienceFest and speed date a scientist... https://t.co/EWlJ7MQmTb
Thu Aug 13 09:21:45 +0000 2015,2,0,RT @stevenson_keith: Scientists  science writers  crime fiction and sci-fi authors unite for geeky-speed-meeting. http://t.co/lZJ64NRPqO vi…
Thu Aug 13 09:21:36 +0000 2015,1,0,RT @janson_h: Speed meet a Scientist @phmuseum #sydsciencefest @sydsciencefest https://t.co/vFGywTC5RN
Thu Aug 13 09:19:54 +0000 2015,1,0,Speed meet a Scientist @phmuseum #sydsciencefest @sydsciencefest https://t.co/vFGywTC5RN
Thu Aug 13 09:12:55 +0000 2015,0,0,Dr Maggie Aderin-Pocock is speaking tomorrow as well  still tickets! #ssf15   http://t.co/EkxrqfRXSu
Thu Aug 13 09:12:02 +0000 2015,0,1,"MP encouraging children to get into physics and  astronomy - ""help us  we need you!"" #ssf15"
Thu Aug 13 09:09:23 +0000 2015,3,0,RT @bronwynterrill: .@natashamitchell launching the inaugural @SydScienceFest. Our  @GarvanInstitute event at http://t.co/6jZMIzDznR http:/…
Thu Aug 13 09:08:05 +0000 2015,3,0,RT @strom_m: Launch of inaugural @SydScienceFest at Powerhouse. Part of @Aus_ScienceWeek. MC @natashamitchell in da house. http://t.co/GDng…
