Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
@ad_mico Must be geeky.  Pre-req geeky.	HER	has_no_media	37.39	1.00	1.00	1.00	4.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00
DK:  People will always get annoyed though.  I think @ABCmediawatch is actually having a go at me tonight. #askdrkarl #sydsciencefest	HER	has_no_media	24.86	6.70	99.00	1.00	6.67	30.00	0.00	5.00	0.00	5.00	0.00	5.00	0.00	0.00	0.00	5.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AND  @ad_mico  @peter_rohde  @AWaardenberg  and @all_isee #sydsciencefest	HER	has_no_media	51.43	50.00	1.00	25.77	10.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"@MakerFaireSYD Preemptive use of the term ""finishes up""!"	HER	has_no_media	99.00	50.00	99.00	25.77	8.00	37.50	0.00	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50
@Isab3lCortes Hi Isabel - its basically any kind of DIYbio anyone can do (within reason). Check out @thebiofoundry or @biocuriouslab for EGs	HER	has_no_media	65.29	69.14	43.37	25.77	10.00	25.00	0.00	0.00	0.00	0.00	0.00	5.00	5.00	0.00	20.00	0.00	5.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
@AstroCate @maasmuseum do it	HER	has_no_media	1.80	50.00	1.00	25.77	4.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Robot destruction brings such great glee #sydsciencefest #robots @maasmuseum @MakerFaireSYD http://t.co/QbOmNjESJh	HER	has_video	83.85	50.00	1.00	25.77	15.00	33.33	6.67	6.67	0.00	6.67	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.67	6.67	0.00	0.00	6.67	0.00	0.00	0.00	0.00	0.00
@MakerFaireSYD absolutely nothing!	HER	has_no_media	1.00	1.00	1.00	25.77	3.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	66.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	33.33
Director @RoseHiscock is introducing the opening night of #sydsciencefest tonight at the @maasmuseum	HER	has_no_media	99.00	50.00	94.81	25.77	13.00	53.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#inspirational | via @twisteddoodles https://t.co/7LySiVCZer	HER	has_photo	99.00	50.00	99.00	99.00	8.00	37.50	12.50	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00
